onset	duration	trial_type	response_time	Offer
4.013940	3.526820	missed_trial	n/a	3
4.013940	33.500000	block_ingroup_unfair	n/a	n/a
8.309090	3.512910	event_accept_ingroup_unfair	2.614680	2
12.589900	3.513140	event_accept_ingroup_unfair	2.987900	5
16.870900	3.512950	event_reject_ingroup_unfair	1.409080	2
21.151800	3.513060	event_reject_ingroup_unfair	1.565180	4
25.432700	3.513040	event_reject_ingroup_unfair	1.621130	8
29.713600	3.528670	event_reject_ingroup_unfair	1.360080	4
34.010100	3.513140	event_reject_ingroup_unfair	1.067010	3
45.542500	3.511120	event_reject_computer_unfair	2.979010	1
45.542500	33.500000	block_computer_unfair	n/a	n/a
49.822100	3.528150	event_accept_computer_unfair	1.501790	7
54.117800	3.513330	event_reject_computer_unfair	1.526130	2
58.398700	3.528980	event_reject_computer_unfair	1.765480	4
62.695100	3.513500	event_accept_computer_unfair	2.073010	6
66.976100	3.529090	event_reject_computer_unfair	1.328280	4
71.272800	3.528940	event_reject_computer_unfair	1.234850	3
75.569300	3.513330	event_reject_computer_unfair	1.024830	4
89.099400	3.513450	event_reject_computer_fair	2.540500	8
89.099400	33.500000	block_computer_fair	n/a	n/a
93.380500	3.513320	event_reject_computer_fair	1.228670	5
97.661300	3.513500	event_accept_computer_fair	1.451450	9
101.942000	3.513420	event_accept_computer_fair	1.540920	9
106.223000	3.513260	event_reject_computer_fair	1.212800	2
110.504000	3.513370	event_accept_computer_fair	1.118950	10
114.785000	3.513320	event_accept_computer_fair	1.324860	9
119.066000	3.513460	event_reject_computer_fair	1.030600	7
134.596000	3.513310	event_reject_computer_unfair	1.146760	1
134.596000	33.500000	block_computer_unfair	n/a	n/a
138.877000	3.513430	event_reject_computer_unfair	1.019140	1
143.158000	3.513400	event_reject_computer_unfair	1.058620	5
147.439000	3.529000	event_reject_computer_unfair	1.064500	2
151.735000	3.513380	event_reject_computer_unfair	1.021150	4
156.016000	3.513400	event_reject_computer_unfair	1.027260	2
160.297000	3.529080	event_accept_computer_unfair	1.767130	9
164.594000	3.513500	event_reject_computer_unfair	1.023380	1
178.126000	3.511720	event_accept_outgroup_fair	2.287110	10
178.126000	33.500000	block_outgroup_fair	n/a	n/a
182.407000	3.511910	event_reject_outgroup_fair	2.243050	7
186.686000	3.512960	event_accept_outgroup_fair	1.599690	9
190.967000	3.512980	event_reject_outgroup_fair	1.021440	7
195.248000	3.512900	event_reject_outgroup_fair	1.027210	7
199.529000	3.528550	event_reject_outgroup_fair	1.033270	6
203.826000	3.512810	event_accept_outgroup_fair	1.023490	10
208.107000	3.512870	event_reject_outgroup_fair	1.029360	3
221.638000	3.511720	event_reject_ingroup_fair	1.776730	8
221.638000	33.500000	block_ingroup_fair	n/a	n/a
225.918000	3.513090	event_accept_ingroup_fair	2.818210	9
230.199000	3.513150	event_reject_ingroup_fair	1.022270	5
234.480000	3.512960	event_reject_ingroup_fair	1.027970	8
238.761000	3.528660	event_reject_ingroup_fair	1.017290	7
243.057000	3.513090	event_reject_ingroup_fair	1.024290	8
247.338000	3.513050	event_reject_ingroup_fair	1.030570	3
251.619000	3.513150	event_reject_ingroup_fair	1.019490	7
263.150000	3.543760	missed_trial	n/a	7
263.150000	33.500000	block_computer_fair	n/a	n/a
267.461000	3.513350	event_reject_computer_fair	1.040520	2
271.742000	3.513360	event_reject_computer_fair	1.029380	6
276.023000	3.513430	event_reject_computer_fair	1.018730	8
280.304000	3.513260	event_accept_computer_fair	1.024460	10
284.585000	3.513460	event_accept_computer_fair	1.030550	8
288.866000	3.513460	event_accept_computer_fair	1.136900	9
293.147000	3.513340	event_accept_computer_fair	2.276930	8
304.679000	3.511540	event_reject_outgroup_unfair	1.253440	2
304.679000	33.500000	block_outgroup_unfair	n/a	n/a
308.960000	3.511590	event_reject_outgroup_unfair	1.025800	1
313.240000	3.528560	event_reject_outgroup_unfair	1.032880	5
317.536000	3.512890	event_reject_outgroup_unfair	1.023220	2
321.817000	3.512790	event_accept_outgroup_unfair	1.896640	9
326.098000	3.512870	event_reject_outgroup_unfair	1.018340	4
330.379000	3.512800	event_reject_outgroup_unfair	1.024000	2
334.660000	3.512960	event_reject_outgroup_unfair	1.030160	4
350.191000	3.527470	event_reject_ingroup_unfair	1.045450	3
350.191000	33.500000	block_ingroup_unfair	n/a	n/a
354.486000	3.513120	event_reject_ingroup_unfair	1.019830	1
358.767000	3.513090	event_reject_ingroup_unfair	1.025690	5
363.048000	3.528820	event_reject_ingroup_unfair	1.031780	2
367.345000	3.512960	event_reject_ingroup_unfair	1.021890	1
371.626000	3.528810	event_accept_ingroup_unfair	1.595340	8
375.922000	3.513140	event_reject_ingroup_unfair	1.018280	2
380.203000	3.513080	event_reject_ingroup_unfair	1.257900	3
