Cluster Index	Z	x	y	z	
73	4.95	21	36	41
73	4.91	17	36	36
73	4.88	19	35	38
73	4.62	23	34	47
73	4.59	20	33	42
73	4.58	24	37	44
72	4.1	42	33	43
72	4.03	38	33	46
72	3.94	41	32	46
72	3.86	45	32	45
72	3.71	43	33	45
72	3.56	39	31	45
71	4.91	22	24	42
71	4.89	21	28	44
71	4	21	24	44
71	3.98	22	27	41
71	3.97	20	27	40
71	3.9	23	28	39
70	4.08	38	37	47
70	3.88	40	36	45
70	3.74	40	36	42
70	3.33	39	35	48
69	3.9	52	36	28
69	3.8	52	34	28
69	3.48	51	38	30
69	3.44	50	38	28
68	4.59	17	41	39
68	4.03	16	43	40
68	3.95	14	41	38
68	3.93	14	42	40
67	4.93	15	46	30
67	4.39	14	48	28
67	3.99	16	48	31
66	4.68	37	22	40
66	4.22	40	24	44
66	3.87	37	20	42
65	4.28	26	23	42
65	4.08	29	25	41
65	3.33	31	25	41
64	4.54	30	37	44
64	3.96	29	36	42
63	4.31	10	41	37
62	4.28	12	39	30
62	4.17	11	40	28
62	4	14	39	31
62	3.63	10	42	29
62	3.56	10	42	31
61	3.93	26	45	47
61	3.85	27	45	44
60	4.13	41	29	46
60	3.92	45	28	42
60	3.9	43	28	44
59	4.41	14	48	15
59	3.59	16	50	16
58	3.84	26	41	45
58	3.78	26	41	47
58	3.34	28	42	49
57	3.57	21	38	28
57	3.41	22	39	25
56	3.83	12	39	33
56	3.58	14	38	33
56	3.43	16	38	33
56	3.32	10	39	35
55	4.35	10	41	19
55	3.93	12	41	20
55	3.34	11	40	17
54	4.55	18	50	25
54	3.39	19	51	28
53	4.38	36	39	23
53	4.34	36	39	26
52	3.85	18	44	40
52	3.4	17	43	42
52	3.36	21	43	41
51	3.69	20	39	24
50	4.06	24	50	46
50	3.44	23	52	44
50	3.22	25	51	44
49	3.74	18	45	37
49	3.37	16	46	38
48	3.64	33	30	47
48	3.37	35	30	46
47	3.91	36	36	45
47	3.67	35	36	42
46	3.98	25	22	40
46	3.69	22	21	42
45	3.91	53	47	33
45	3.7	53	44	31
44	4.13	14	24	24
44	3.93	16	25	23
44	3.27	13	26	24
43	4.58	25	39	29
42	4.3	34	40	42
42	4	34	41	40
41	4.16	21	46	43
41	3.71	21	44	44
40	4.69	13	38	27
40	3.3	15	36	26
39	4.48	38	23	23
39	3.98	39	21	25
38	3.47	29	49	30
38	3.4	30	46	32
37	3.68	25	52	39
37	3.41	24	54	40
36	3.56	52	38	32
36	3.55	54	39	31
35	4.51	12	32	37
34	3.96	41	38	29
34	3.63	40	40	29
33	3.85	36	33	42
32	3.79	54	43	19
31	3.84	12	41	15
30	3.71	28	35	39
30	3.7	28	34	37
29	4.05	27	19	37
29	3.66	26	18	39
28	4.47	35	47	40
28	3.6	36	47	42
27	4.34	47	41	37
26	4.18	35	24	40
26	3.83	35	24	42
26	3.25	32	25	43
25	4.17	53	48	28
24	4.23	13	35	40
23	3.72	25	47	40
22	4.58	23	55	17
21	3.73	45	21	19
20	3.93	39	33	37
19	4.45	14	33	33
19	3.71	12	32	32
18	3.5	49	30	28
17	3.42	37	26	44
17	3.36	35	26	43
16	3.78	31	20	18
15	3.57	46	33	28
14	3.84	25	24	40
13	3.45	20	35	19
13	3.38	18	36	18
12	3.73	46	18	29
11	4.23	14	41	28
11	3.46	16	41	30
10	4.1	20	39	35
10	3.46	21	39	38
9	4.19	11	45	31
8	4.31	28	43	46
7	3.48	13	26	35
7	3.14	12	28	36
6	3.83	41	37	11
6	3.25	41	39	12
5	3.22	12	36	36
4	4.02	50	18	27
3	3.82	14	38	36
2	3.75	49	46	28
2	3.21	48	45	25
1	3.43	46	43	35
1	3.21	48	44	35
