Cluster Index	Z	x	y	z	
7	13.2	35	50	22
7	11.1	29	50	23
7	9	35	62	22
7	7.77	18	33	12
7	7.13	51	42	15
7	7.09	36	66	19
6	6.24	32	20	36
6	6.16	29	15	37
6	6.02	32	15	32
6	5.66	36	23	40
6	5.66	24	11	32
6	5.64	29	20	23
5	6.04	16	22	15
5	5.17	17	20	15
5	4.9	16	19	9
5	4.88	18	18	8
5	4.65	19	17	16
5	3.85	20	21	9
4	4.59	53	30	25
4	3.95	50	26	26
4	3.48	54	25	24
3	5.08	11	24	20
3	4.09	10	28	19
2	4.65	26	32	32
2	4.54	22	27	28
2	3.35	24	22	27
1	4.45	51	20	14
1	4.19	49	22	10
1	4.14	49	27	12
1	4.08	47	21	11
1	4.07	49	24	10
1	3.6	45	26	12
