Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
89	122	0	51.1	5.54	45	61	22	42.3	59.9	19.2	1.79e+03	40	62	19	625
88	27	1.2e-17	16.9	4.29	25	67	21	24.8	65.3	20.8	1.14e+03	25	62	19	574
87	19	1.56e-13	12.8	4.43	16	62	23	17	60.7	22.1	1.21e+03	17	62	21	485
86	19	1.56e-13	12.8	4.19	39	54	19	37.6	53.6	17.1	1.46e+03	35	54	16	775
85	14	1.16e-10	9.94	4.86	38	64	26	37.6	65.4	26.5	1.23e+03	38	68	29	437
84	14	1.16e-10	9.94	5.1	48	57	24	46.9	55.2	23.7	590	45	55	24	371
83	13	4.74e-10	9.32	5.46	36	58	34	34.6	57.4	33	735	34	57	33	321
82	13	4.74e-10	9.32	4.38	46	59	27	44.5	58.6	27.4	465	46	59	27	264
81	11	8.93e-09	8.05	4.92	30	52	18	28.3	51.5	17.5	1.35e+03	30	52	18	826
80	10	5.96e-08	7.22	4.36	44	57	41	43.3	55	40	893	43	57	40	459
79	10	5.96e-08	7.22	4.41	32	65	20	30.8	63.7	20.5	841	32	65	20	451
78	9	1.79e-07	6.75	4.27	26	63	38	26.7	63.6	37.1	1.81e+03	27	63	37	796
77	9	1.79e-07	6.75	3.94	39	64	38	39.2	63.9	37.5	843	37	64	37	506
76	8	1.07e-06	5.97	4.38	41	68	30	40.1	68.7	28.4	893	39	69	27	640
75	8	1.07e-06	5.97	4.94	45	57	31	44.7	56.6	29.9	382	46	57	30	282
74	8	1.07e-06	5.97	3.92	21	64	20	20.9	63.4	20.7	1.25e+03	21	64	20	689
73	8	1.07e-06	5.97	5.42	19	64	32	19.2	63.5	31.7	776	18	62	32	503
72	7	5.84e-06	5.23	4.21	27	46	17	28.6	47.5	17.1	1.74e+03	27	46	17	1.39e+03
71	7	5.84e-06	5.23	4.2	48	55	21	50.6	55.9	21.5	885	51	57	22	425
70	7	5.84e-06	5.23	4.22	44	67	24	44.1	66.5	24	1.1e+03	44	67	24	575
69	7	5.84e-06	5.23	4.31	33	60	42	32.6	59.7	42	1.2e+03	32	58	43	780
68	7	5.84e-06	5.23	4.06	23	66	33	22.9	65.4	33.3	958	23	66	33	694
67	7	5.84e-06	5.23	4.8	37	67	23	35.3	67.8	21.5	580	36	68	22	402
66	7	5.84e-06	5.23	4.81	33	63	42	32.9	63.3	41.5	362	33	63	42	300
65	7	5.84e-06	5.23	4.25	49	53	36	48.1	52.7	35.9	609	47	52	37	417
64	7	5.84e-06	5.23	4.05	34	55	37	34.7	55.1	36.9	474	35	55	37	337
63	7	5.84e-06	5.23	3.88	43	58	38	44	56.7	37.1	630	43	58	38	413
62	7	5.84e-06	5.23	4.64	37	62	38	36.4	61.1	38.4	1.4e+03	37	62	38	643
61	6	3.54e-05	4.45	4.04	24	67	30	25.9	68.5	30.3	1.04e+03	24	67	30	696
60	6	3.54e-05	4.45	4.32	39	56	41	39.3	56.3	40.8	683	39	58	41	384
59	6	3.54e-05	4.45	4.14	29	64	32	29.7	62.8	31.1	412	30	62	30	282
58	6	3.54e-05	4.45	4.09	51	51	19	50.2	49.9	19	987	50	50	19	630
57	6	3.54e-05	4.45	4.43	29	62	17	28.4	63.4	17.3	776	27	64	18	638
56	6	3.54e-05	4.45	3.89	51	49	35	50.2	47.8	34.8	363	50	47	35	296
55	6	3.54e-05	4.45	4.8	20	58	38	20.8	57.8	38.5	497	21	58	37	360
54	6	3.54e-05	4.45	4.18	22	61	24	22.7	61.9	23.8	437	22	61	24	299
53	5	0.000238	3.62	4.49	40	57	16	40.2	57.6	16	917	41	58	16	568
52	5	0.000238	3.62	4.48	41	66	35	39.5	65.7	34.7	1.68e+03	39	65	34	789
51	5	0.000238	3.62	3.82	20	61	20	20	60.4	19.6	1.14e+03	20	60	19	956
50	5	0.000238	3.62	4.35	42	53	24	42.2	52.4	23.8	267	42	53	24	234
49	5	0.000238	3.62	4.65	43	51	13	43.3	51.2	13.2	1.77e+03	43	51	13	1.1e+03
48	5	0.000238	3.62	4.77	24	65	26	24.4	64.3	25.8	477	24	65	26	319
47	4	0.00182	2.74	4	26	58	18	27.4	58.2	19.2	604	26	58	18	340
46	4	0.00182	2.74	4.09	37	57	17	37.2	57.5	17.2	1.08e+03	38	57	17	579
45	4	0.00182	2.74	3.57	45	54	37	44.5	53.8	36.3	210	45	54	37	164
44	4	0.00182	2.74	4.4	46	52	34	45.5	52.7	34.2	274	46	52	34	216
43	4	0.00182	2.74	3.83	40	68	33	40.7	67	33	617	41	67	33	517
42	4	0.00182	2.74	5.09	34	70	33	34.4	69.5	33	848	34	69	33	608
41	4	0.00182	2.74	3.91	21	56	19	21	55.3	19	429	21	55	19	393
40	4	0.00182	2.74	3.65	19	67	26	18.8	66.7	24.8	532	19	67	26	390
39	4	0.00182	2.74	3.76	15	53	20	14.3	54.4	20.5	578	14	55	21	474
38	4	0.00182	2.74	3.89	31	56	16	30.3	56.7	15.8	903	30	58	15	582
37	4	0.00182	2.74	4.55	38	49	17	38.2	49.4	16.3	1.33e+03	38	48	17	824
36	4	0.00182	2.74	4.47	40	52	44	40.5	51.3	44.4	570	40	52	45	371
35	4	0.00182	2.74	4.56	26	52	15	26.7	52	14.5	653	26	53	14	429
34	4	0.00182	2.74	3.94	47	63	35	46.5	63	34.5	745	47	63	35	592
33	4	0.00182	2.74	4.87	29	59	18	28.3	58.6	17.1	693	28	58	16	443
32	4	0.00182	2.74	3.65	17	62	28	17.3	63.2	27	712	17	62	28	518
