Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	33	5.36e-07	6.27	3	20	35	28	15.6	36.6	27.8	6.66e+03	12	36	27	2.34e+03
10	24	3.45e-05	4.46	3.16	31	55	29	31	56.2	29.2	2.34e+03	29	58	30	1.14e+03
9	23	5.67e-05	4.25	3.23	24	24	26	25.3	25.9	24.9	2.7e+03	28	28	24	1.33e+03
8	17	0.00133	2.88	3.48	39	38	46	36.1	37.4	46.4	583	33	36	46	447
7	17	0.00133	2.88	3.67	48	28	27	48.7	29.6	27.2	2.41e+03	51	31	27	726
6	15	0.00413	2.38	3.32	18	42	21	17.6	41.5	21	1.99e+03	18	42	21	994
5	15	0.00413	2.38	2.92	55	41	24	54.1	42.1	27	2.15e+03	54	43	26	1.06e+03
4	15	0.00413	2.38	3.15	17	43	28	17.3	42.8	27.9	2.63e+03	18	41	27	1.36e+03
3	12	0.0247	1.61	3.52	37	64	31	37.3	64.4	30.8	2.08e+03	37	66	32	802
2	12	0.0247	1.61	3.65	25	36	37	24.5	33.9	36	588	24	32	33	440
1	12	0.0247	1.61	3.16	35	58	28	33.8	58.8	28.7	2.29e+03	34	59	29	1.4e+03
