Cluster Index	Z	x	y	z	
7	9.61	44	18	20
7	9.59	49	19	22
7	9.33	40	15	21
7	9.04	44	23	20
7	8.67	42	22	20
7	7.55	47	26	19
6	7.79	20	16	20
6	7.43	17	18	21
6	7.2	21	14	21
6	6.32	20	29	18
6	6.28	20	23	20
6	6.04	21	20	19
5	7.22	41	22	38
5	6.53	38	20	41
5	6.11	25	23	38
5	5.34	23	22	40
5	4.53	35	23	38
5	4.47	23	25	42
4	4.61	24	44	44
4	4.22	21	31	38
4	4.21	18	31	36
4	4	20	34	32
4	3.98	17	34	43
4	3.6	20	34	43
3	6.99	20	14	28
3	5.06	19	18	29
3	4.41	22	13	31
3	3.62	24	15	33
2	6.98	44	47	34
2	3.86	49	46	32
2	3.7	44	52	34
2	3.56	49	45	35
1	6.2	18	44	35
1	6.01	18	47	35
1	4.62	13	49	37
1	3.23	13	47	34
